"Sortierfeld_Title","Title","Format","Title No.","Title No Electronic Journal version","Title No. Print Incl. ""Enhanced Access""","ISSN print","ISSN electronic","Publisher","Language","Vols Qty","Scheduled Vol Nos","Issues per vol","Currency","Institutional Rate Print incl. Free Access or E-Only","Currency","Institutional Rate incl. Enhanced Access","Price for Postage & Handling","Status","Comments","Dispatch included"
"Frontiers Physics China","Frontiers of Physics in China","P E",11467,"11467E","11467N","1673-3487","1673-3606","Higher Education Press, co-published with Springer","E",1,5,4,"USD",600,"USD",720,28,,"Chinese Library of Science. Exclusive distribution rights for print and electronic version outside Mainland China. ",
"Functional Analysis Its Applications","Functional Analysis and Its Applications","P E",10688,"10688E","10688N","0016-2663","1573-8485","Springer US","E",1,44,4,"USD",2738,"USD",3285.6,28,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Functional Analysis Other Mathematics","Functional Analysis and Other Mathematics","P E OF",11853,"11853E","11853N","1991-0061","1863-7914","Springer Berlin Heidelberg","E",1,5,2,"USD",911,"USD",1093.2,14,,,
"Functional Integrative Genomics","Functional & Integrative Genomics","P E OF S",10142,"10142E","10142N","1438-793X","1438-7948","Springer Berlin Heidelberg","E",1,10,4,"USD",301,"USD",361.2,40,,"More content! ",
"Fungal Diversity","Fungal Diversity","P E OF",13225,"13225E","13225N","1560-2745","1878-9129","Springer Netherlands","E",6,"40-45",1,"USD",450,"USD",540,42,"New in 2010","Take-over in 2010. Former publisher: Kunming University of Science and Technology, PR China. Addendum Journals Price List. ",
"Fuzzy Information and Engineering","Fuzzy Information and Engineering","P E",12543,"12543E","12543N","1616-8658","1616-8666","Springer-Verlag GmbH, co-published with Fuzzy Information and Engineering Branch of China Operation Research Society","E",1,2,4,"USD",810,"USD",972,28,"New in 2009","New Start co-publication in 2009. Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. ",
"Fuzzy Optimization Decision Making","Fuzzy Optimization and Decision Making","P E OF",10700,"10700E","10700N","1568-4539","1573-2908","Springer US","E",1,9,4,"USD",480,"USD",576,28,,,
"Gastric Cancer","Gastric Cancer","P E",10120,"10120E","10120N","1436-3291","1436-3305","Springer Japan","E",1,13,4,"USD",299,"USD",358.8,40,,,
"Gastro News","Gastro-News","P",15036,"15036E","15036N","Pending",,"Urban & Vogel","D",1,2,6,"USD",95,,,42,"New in 2009","New start in 2009. Addendum Journals Price List. No electronic version available. ",
"Gastroenterologe","Der Gastroenterologe","P E OF",11377,"11377E","11377N","1861-9681","1861-969X","Springer Berlin Heidelberg","D",1,5,6,"USD",307,"USD",368.4,42,,,
"Gefässchirurgie Zeitschrift für vaskuläre endovaskuläre Chirurgie","Gefässchirurgie","P E OF",772,"772E","772N","0948-7034","1434-3932","Springer Berlin Heidelberg","D",1,15,8,"USD",291,"USD",349.2,42,,"Erratum Journals Price List. Publishes 8 issues in 2010. More content! ",
"GEM International Journal Geomathematics","GEM - International Journal on Geomathematics","P E OF",13137,"13137E","13137N","1869-2672","1869-2680","Springer Berlin Heidelberg","E",1,1,2,"USD",405,"USD",486,14,"New in 2010","New start in 2010. ",
"Gender Issues","Gender Issues","P E OF",12147,"12147E","12147N","1098-092X","1936-4717","Springer US","E",1,27,4,"USD",447,"USD",536.4,40,,,
"General Relativity Gravitation","General Relativity and Gravitation","P E OF",10714,"10714E","10714N","0001-7701","1572-9532","Springer US","E",1,42,12,"USD",2271,"USD",2725.2,84,,,
"Genes Genomics","Genes & Genomics","P E",13258,"13258E","13258N","1976-9571","2092-9293","The Genetics Society of Korea, co-published with Springer","E",1,32,6,"USD",878,"USD",1054,42,"New in 2010","Take-Over Co-Publication in 2010. Former publisher: The Genetics Society of Korea. Addendum Journals Price List. Exclusive distribution rights for print version outside Korea, for electronic version worldwide. ",
"Genes Nutrition","Genes & Nutrition","P E OF S",12263,"12263E","12263N","1555-8932","1865-3499","Springer Berlin Heidelberg","E",1,5,4,"USD",654,"USD",784.8,28,,,
"Genetic Programming Evolvable Machines","Genetic Programming and Evolvable Machines","P E OF",10710,"10710E","10710N","1389-2576","1573-7632","Springer US","E",1,11,4,"USD",554,"USD",664.8,28,,,
"Genetic Resources Crop Evolution","Genetic Resources and Crop Evolution","P E OF",10722,"10722E","10722N","0925-9864","1573-5109","Springer Netherlands","E",1,57,8,"USD",1519,"USD",1822.8,56,,,
"Genetica","Genetica","P E OF",10709,"10709E","10709N","0016-6707","1573-6857","Springer Netherlands","E",1,138,12,"USD",3132,"USD",3758.4,84,,"More content! ",
"Geochemistry International","Geochemistry International","P E",11476,"11476E","11476N","0016-7029","1556-1968","MAIK Nauka/Interperiodica","E",1,48,13,"USD",5468,"USD",6561.6,91,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Geoheritage","Geoheritage","P E OF",12371,"12371E","12371N","1867-2477","1867-2485","Springer Berlin Heidelberg","E",1,2,4,"USD",447,"USD",536.4,28,"New in 2009","New start in 2009. ",
"GeoInformatica","GeoInformatica","P E OF",10707,"10707E","10707N","1384-6175","1573-7624","Springer US","E",1,14,4,"USD",801,"USD",961.2,28,,,
"GeoJournal","GeoJournal","P E OF",10708,"10708E","10708N","0343-2521","1572-9893","Springer Netherlands","E",1,75,6,"USD",1250,"USD",1500,42,,,
"Geology Ore Deposits","Geology of Ore Deposits","P E",11477,"11477E","11477N","1075-7015","1555-6476","MAIK Nauka/Interperiodica","E",1,52,8,"USD",2133,"USD",2559.6,56,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Geomagnetism Aeronomy","Geomagnetism and Aeronomy","P E",11478,"11478E","11478N","0016-7932","1555-645X","MAIK Nauka/Interperiodica","E",1,50,8,"USD",1758,"USD",2109.6,56,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Geo-Marine Letters","Geo-Marine Letters","P E OF",367,"367E","367N","0276-0460","1432-1157","Springer Berlin Heidelberg","E",1,30,6,"USD",1303,"USD",1563.6,60,,,
"Geometriae Dedicata","Geometriae Dedicata","P E OF",10711,"10711E","10711N","0046-5755","1572-9168","Springer Netherlands","E",6,"144-149",1,"USD",1653,"USD",1983.6,42,,,
"Geometric Functional Analysis GAFA","Geometric and Functional Analysis GAFA","P E OF",39,"039E","039N","1016-443X","1420-8970","Birkhäuser Verlag Basel","E",1,20,6,"USD",1233,"USD",1479.6,63,,,
"Geosciences Journal","Geosciences Journal","P E",12303,"12303E","12303N","1226-4806","1598-7477","The Geological Society of Korea, co-published with Springer","E",1,14,4,"USD",757,"USD",908.4,28,,"Exclusive distribution rights for print version outside Korea, for electronic version worldwide. ",
"Geo-Spatialformation Science","Geo-Spatial Information Science","P E",11806,"11806E","11806N","1009-5020","1993-5153","Wuhan University, co-published with Springer","E",1,13,4,"USD",538,"USD",645.6,28,,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. ",
"Geotechnical Geological Engineering","Geotechnical and Geological Engineering","P E OF",10706,"10706E","10706N","0960-3182","1573-1529","Springer Netherlands","E",1,28,6,"USD",1034,"USD",1240.8,42,,,
"Geotectonics","Geotectonics","P E",11479,"11479E","11479N","0016-8521","1556-1976","MAIK Nauka/Interperiodica","E",1,44,6,"USD",1299,"USD",1558.8,42,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Gerontologie en Geriatrie","Tijdschrift voor gerontologie en geriatrie","P E",12439,"12439E","12439N","0167-9228","1875-6832","Bohn Stafleu van Loghum","NL",1,2010,6,,,,,,,"Order through Bohn Stafleu van Loghum. Please contact Bohn Stafleu van Loghum for price and ordering information. ",
"Gesunde Pflanzen","Gesunde Pflanzen","P E OF",10343,"10343E","10343N","0367-4223","1439-0345","Springer Berlin Heidelberg","D",1,62,4,"USD",597,"USD",716.4,40,,,
"Gezinstherapie Wereldwijd","Gezinstherapie Wereldwijd","P",12440,"12440E","12440N","1566-0206",,"Bohn Stafleu van Loghum","NL",1,2010,4,,,,,,,"Order through Bohn Stafleu van Loghum. Please contact Bohn Stafleu van Loghum for price and ordering information. No electronic version available. ",
"Glass Ceramics","Glass and Ceramics","P E",10717,"10717E","10717N","0361-7610","1573-8515","Springer US","E",1,67,12,"USD",4527,"USD",5432.4,84,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Glass Physics Chemistry","Glass Physics and Chemistry","P E",10720,"10720E","10720N","1087-6596","1608-313X","MAIK Nauka/Interperiodica","E",1,36,6,"USD",2754,"USD",3304.8,42,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Glycoconjugate Journal","Glycoconjugate Journal","P E OF",10719,"10719E","10719N","0282-0080","1573-4986","Springer US","E",1,27,9,"USD",1747,"USD",2096.4,63,,,
"GNSS Solutions","GPS Solutions","P E OF",10291,"10291E","10291N","1080-5370","1521-1886","Springer Berlin Heidelberg","E",1,14,4,"USD",508,"USD",609.6,40,,"More content! ",
"Graefe's Archive Clinical Experimental Ophthalmology","Graefe's Archive for Clinical and Experimental Ophthalmology","P E OF S",417,"417E","417N","0721-832X","1435-702X","Springer Berlin Heidelberg","E",1,248,12,"USD",2804,"USD",3364.8,120,,,
"Granular Matter","Granular Matter","P E",10035,"10035E","10035N","1434-5021","1434-7636","Springer Berlin Heidelberg","E",1,12,6,"USD",567,"USD",680.4,60,,,
"Graphs Combinatorics","Graphs and Combinatorics","P E",373,"373E","373N","0911-0119","1435-5914","Springer Japan","E",1,26,6,"USD",676,"USD",811.2,60,,,
"Gravitation and Cosmology","Gravitation and Cosmology","P E ",12267,"12267E","12267N","0202-2893","1995-0721","MAIK Nauka/Interperiodica","E",1,16,4,"USD",477,"USD",572.4,28,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Group Decision Negotiation","Group Decision and Negotiation","P E OF",10726,"10726E","10726N","0926-2644","1572-9907","Springer Netherlands","E",1,19,6,"USD",801,"USD",961.2,42,,,
"Grundwasser","Grundwasser","P E",767,"767E","767N","1430-483X","1432-1165","Springer Berlin Heidelberg","D",1,15,4,"USD",248,"USD",297.6,40,,,
"Gruppendynamik Organisationsberatung","Gruppendynamik und Organisationsberatung","E",11612,"11612E","11612N","1618-7849","1862-2615","VS Verlag für Sozialwissenschaften / GWV Fachverlage GmbH","D",1,41,4,"USD",232,,,,,"SpringerLink licensing permitted. Print and online subscriptions processed by VS Verlag für Sozialwissenschaften. Only available in electronic format. ",
"Gynäkologe","Der Gynäkologe","P E",129,"129E","129N","0017-5994","1433-0393","Springer Berlin Heidelberg","D",1,43,12,"USD",478,"USD",573.6,120,,,
"gynäkologie geburtshilfe","gynäkologie + geburtshilfe","P",15013,"15013E","15013N","1439-3557",,"Urban & Vogel","D",1,15,12,"USD",130,,,84,,"No electronic version available. ",
"Gynäkologische Endokrinologie","Gynäkologische Endokrinologie","P E",10304,"10304E","10304N","1610-2894","1610-2908","Springer Berlin Heidelberg","D",1,8,4,"USD",306,"USD",367.2,40,,,
"Gynecological Surgery","Gynecological Surgery","P E OF",10397,"10397E","10397N","1613-2076","1613-2084","Springer Berlin Heidelberg","E",1,7,4,"USD",865,"USD",1038,40,,"Plus 1 supplement. ",
"Gyroscopy Navigation","Gyroscopy and Navigation","P E",13140,"13140E","13140N","2075-1087","2075-1109","MAIK Nauka/Interperiodica","E",1,1,4,"USD",950,"USD",1140,28,"New in 2010","New Start co-publication in 2010. Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Hand","Hand","P E OF",11552,"11552E","11552N","1558-9447","1558-9455","Springer New York","E",1,5,4,"USD",507,"USD",608.4,28,,,
"Hartbulletin","Hartbulletin","P",12442,"12442E","12442N","0301-8202",,"Bohn Stafleu van Loghum","NL",1,2010,6,,,,,,,"Order through Bohn Stafleu van Loghum. Please contact Bohn Stafleu van Loghum for price and ordering information. No electronic version available. ",
"Hausarzt","Der Hausarzt","P",15200,"15200E","15200N","1434-8950",,"Med. Komm, a Subsidiary of Urban & Vogel GmbH","D",1,47,20,"USD",96,,,200,,"No electronic version available. ",
"Hautarzt","Der Hautarzt","P E",105,"105E","105N","0017-8470","1432-1173","Springer Berlin Heidelberg","D",1,61,12,"USD",617,"USD",740.4,120,,,
"hautnah","hautnah","P",12326,"12326E","12326N","1866-2250",,"Springer Wien","D",1,9,4,"USD",52,,,28,,"No electronic version available. ",
"hautnah dermatologie","hautnah dermatologie","P",15012,"15012E","15012N","0938-0221",,"Urban & Vogel","D",1,26,6,"USD",105,,,60,,"No electronic version available. ",
"Head Neck Pathology","Head and Neck Pathology","E OF",12105,"12105E","12105N","1936-055X","1936-0568","Humana Press","E",1,4,4,"USD",295,,,,,"Only available in electronic format. ",
"Health Care Analysis","Health Care Analysis","P E OF",10728,"10728E","10728N","1065-3058","1573-3394","Springer US","E",1,18,4,"USD",704,"USD",844.8,28,,,
"Health Care Management Science","Health Care Management Science","P E OF",10729,"10729E","10729N","1386-9620","1572-9389","Springer US","E",1,13,4,"USD",545,"USD",654,28,,,
"Health Services Outcomes Research Methodology","Health Services and Outcomes Research Methodology","P E OF",10742,"10742E","10742N","1387-3741","1572-9400","Springer US","E",1,10,4,"USD",443,"USD",531.6,0,,,"INCL Disp"
"Heart Failure Reviews","Heart Failure Reviews","P E OF",10741,"10741E","10741N","1382-4147","1573-7322","Springer US","E",1,15,6,"USD",651,"USD",781.2,42,,"More content! ",
"Heart Vessels","Heart and Vessels","P E OF",380,"380E","380N","0910-8327","1615-2573","Springer Japan","E",1,25,6,"USD",441,"USD",529.2,60,,,
"Heat Mass Transfer","Heat and Mass Transfer","P E OF",231,"231E","231N","0947-7411","1432-1181","Springer Berlin Heidelberg","E",1,46,12,"USD",3750,"USD",4500,120,,,
"HEC Forum","HEC Forum","P E OF",10730,"10730E","10730N","0956-2737","1572-8498","Springer Netherlands","E",1,22,4,"USD",338,"USD",405.6,28,,,
"Heilberufe","Heilberufe","P E",58,"058E","058N","0017-9604","1867-1535","Urban & Vogel","D",1,62,12,"USD",72,"USD",86.4,120,,,
"Helgoland Marine Research","Helgoland Marine Research","P E OF",10152,"10152E","10152N","1438-387X","1438-3888","Springer Berlin Heidelberg","E",1,64,4,"USD",247,"USD",296.4,40,,"More content! ",
"Hellenic Journal Surgery","Hellenic Journal of Surgery","P E",13126,"13126E","13126N","0018-0092","1868-8845","Springer Wien","E",1,82,6,"USD",469,"USD",562.8,42,"New in 2010","Take-Over Sales Co-operation in 2010. Former publisher: Hellenic Surgical Society. ",
"Helminthologica","Helminthologia","P E OF ",11687,"11687E","11687N","0440-6605","1336-9083","Versita, co-published with Springer","E",1,47,4,"USD",610,"USD",732,28,,"More content! ",
"Hepatology International","Hepatology International","P E OF",12072,"12072E","12072N","1936-0533","1936-0541","Springer India","E",1,4,4,"USD",676,"USD",811.2,28,,,
"Herald Russian Academy Sciences","Herald of the Russian Academy of Sciences","P E",11480,"11480E","11480N","1019-3316","1555-6492","MAIK Nauka/Interperiodica","E",1,80,6,"USD",3886,"USD",4663.2,42,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Hernia","Hernia","P E OF",10029,"10029E","10029N","1265-4906","1248-9204","Springer Paris","E",1,14,6,"USD",742,"USD",890.4,60,,,
